arrayD1,arrayD2,arrayD3,arrayD4,arrayD5,arrayD6,arrayD7,arrayD8,arrayD9,arrayD10,arrayD11,arrayD12,arrayD13,arrayD14,arrayD15,arrayD16,arrayD17,arrayD18,arrayD19,arrayD20,arrayD21,arrayD22,arrayD23,arrayD24,arrayD25,arrayD26,arrayD27,arrayD28,arrayD29,arrayD30,arrayD31,arrayD32,arrayD33,arrayD34,arrayD35,arrayD36,arrayD37,arrayD38,arrayD39,arrayD40,arrayD41,arrayD42,arrayD43,arrayD44,arrayD45,arrayD46,arrayD47,arrayD48,arrayD49,arrayD50,arrayD51,arrayD52,arrayD53,arrayD54,arrayD55,Target
1,13.47,1121,239,5,224,21,120,88.57,435,304,304,-2,-4,428,101,118,62,93,59.0,63.8,69.3,70.8,56.5,68.8,68.6,69.2,68.1,68.9,70.9,53.5,60.4,46.8,46.5,52.2,6.5,164.8,154.8,153.2,157.8,131.4,201.5,161.3,139.3,137.9,167.6,186.8,194.4,5580,0,184.3,178.5,26.0,1,1,69.8
0,56.29,1115,44,3,39,23,0,88.64,400,245,245,0,0,326,92,103,58,91,61.2,71.6,72.0,77.7,57.3,80.0,79.3,80.2,78.8,79.4,79.6,51.8,47.3,42.6,43.8,49.7,54.0,280.8,239.4,261.4,263.0,262.1,311.9,261.5,271.1,256.0,282.6,286.9,304.5,4050,0,292.8,288.7,22.2,34,35,72.1
0,11.4,1156,48,3,42,38,0,88.19,400,270,270,-1,0,361,84,97,52,91,57.1,64.8,67.6,72.7,51.5,71.3,70.9,71.7,70.4,71.1,73.6,45.9,55.8,37.1,38.0,48.5,4.7,301.4,266.3,291.5,287.4,283.7,327.6,278.3,285.9,265.1,299.4,310.6,326.8,3960,0,303.0,296.9,18.5,32,33,67.6
0,73.55,1163,40,3,35,23,0,88.13,401,257,257,0,4,340,86,98,54,91,58.9,69.6,69.7,74.8,54.6,78.1,77.4,78.3,76.9,77.7,78.9,47.8,53.9,38.5,39.7,47.4,24.5,252.9,225.1,234.5,238.9,235.9,293.6,234.7,239.5,230.0,249.6,265.5,291.5,4050,0,290.6,285.7,24.2,31,33,67.8
0,66.12,1074,73,3,67,55,0,89.09,401,249,249,1,2,334,84,95,52,92,60.0,70.5,70.5,75.5,56.5,78.8,78.1,78.9,77.6,78.3,79.0,50.2,58.9,41.2,42.1,48.4,33.3,222.8,203.8,206.5,208.6,196.8,253.4,210.5,206.9,198.8,218.7,232.9,253.1,4260,0,265.8,264.8,27.5,31,33,68.9
0,0.0,1064,0,0,0,0,0,89.2,0,2,4,0,0,18,18,16,0,91,34.8,54.1,47.9,64.3,63.3,65.4,65.3,65.7,64.7,65.3,61.0,54.2,33.2,35.9,47.9,46.4,15.3,48.8,44.2,48.8,48.7,48.5,49.5,53.9,55.8,47.1,43.8,47.0,46.7,0,0,79.3,70.3,15.8,1,0,47.6
1,70.59,1058,178,4,167,24,120,89.28,400,332,333,0,0,443,44,84,20,92,49.3,54.5,49.2,54.9,38.5,61.8,61.4,62.1,61.0,61.8,63.8,33.3,37.3,24.8,25.1,33.1,0.3,241.2,219.2,234.7,232.9,202.4,285.0,242.5,210.7,213.0,247.4,257.3,273.5,4500,0,246.4,247.4,12.9,1,0,47.6
0,0.0,1072,30,3,25,22,0,89.12,400,311,312,0,-2,410,59,106,35,91,53.4,55.7,63.3,65.2,49.8,61.6,61.4,62.0,61.0,61.6,64.0,49.9,31.2,43.5,43.2,46.3,-8.7,127.3,98.2,113.7,126.4,88.6,178.0,118.6,94.4,111.9,139.7,154.3,159.7,3090,0,141.1,132.4,12.9,1,0,63.3
0,14.36,970,27,3,22,20,0,90.2,400,255,255,2,4,338,99,112,63,92,62.4,64.3,69.8,71.4,61.2,69.1,68.8,69.4,68.4,69.1,70.7,61.4,43.0,55.7,55.3,57.7,-9.8,161.9,137.8,139.3,157.9,119.2,204.1,155.4,130.6,137.9,169.6,183.9,191.8,3360,0,170.2,156.7,13.0,1,0,69.5
0,0.0,939,39,3,34,30,0,90.55,400,251,251,-2,-3,332,97,110,61,92,63.1,65.2,71.1,72.4,61.9,70.2,70.0,70.6,69.7,70.3,71.7,61.5,39.9,55.7,55.2,58.3,-11.7,137.0,112.2,110.9,137.4,92.2,187.9,139.5,104.2,114.8,148.6,164.1,171.3,3390,0,150.3,140.8,9.6,1,0,71.0
0,61.3,962,30,3,25,22,0,90.3,400,266,266,-1,1,349,43,87,20,92,61.1,63.1,56.4,59.8,57.8,68.6,68.3,68.9,68.0,68.6,70.2,57.9,41.9,51.9,51.6,54.3,-0.3,124.6,104.6,105.0,123.6,84.9,172.0,122.1,94.0,106.3,136.0,152.1,156.8,3270,0,139.4,131.2,14.4,1,0,56.5
0,0.0,1054,27,3,22,19,0,89.3,400,237,237,-3,-5,311,99,111,64,91,66.7,68.8,72.1,73.6,65.9,73.4,73.2,73.9,72.7,73.4,75.5,66.0,58.1,60.3,60.0,62.1,2.7,149.6,135.1,135.2,145.3,110.2,188.1,143.5,126.1,122.2,156.8,173.4,176.4,3390,0,155.1,149.3,19.6,1,0,72.4
0,0.0,1027,28,3,23,19,0,89.59,400,277,277,-1,-2,365,85,99,50,91,58.1,61.4,68.6,70.5,57.0,66.8,66.5,67.1,66.1,66.8,69.1,54.2,42.1,47.3,47.4,52.2,-7.7,124.3,103.2,103.8,120.7,83.2,169.6,120.3,96.6,102.3,135.5,149.0,156.1,3120,0,141.6,133.7,11.7,1,0,68.8
0,0.0,939,28,3,23,19,0,90.55,400,269,270,-2,-5,354,83,97,49,92,59.6,62.1,71.2,72.6,58.7,66.8,66.5,67.1,66.1,66.9,69.6,58.0,46.4,51.9,51.6,54.5,-11.7,132.8,117.2,111.8,131.1,102.7,181.8,127.2,105.9,110.1,141.4,157.8,167.2,3360,0,162.4,152.4,11.9,1,0,71.4
10,80.44,950,2523,13,2406,67,2100,90.42,920,679,680,-140,-126,861,306,363,208,298,64.3,73.0,74.0,77.9,59.5,87.7,86.9,88.2,87.1,87.1,86.5,60.0,41.4,48.1,54.4,52.5,118.8,426.7,389.0,402.1,407.3,396.4,435.8,420.0,421.3,421.5,430.7,427.9,437.9,-31756,0,440.8,438.8,9.9,38,39,74.7
0,0.0,1008,43,3,38,32,0,89.8,400,263,264,1,4,349,86,99,50,91,61.0,63.1,66.7,67.8,58.8,68.2,68.0,68.6,67.6,68.3,70.2,59.4,37.2,53.5,53.1,55.8,-4.2,143.2,124.0,117.1,138.3,95.5,195.5,126.4,105.0,118.6,149.9,166.9,176.3,3330,0,157.5,142.3,16.2,1,0,66.9
12,83.25,981,3338,16,3185,82,2800,90.08,1000,700,701,-144,-144,889,346,342,238,350,65.7,74.2,74.5,78.8,64.9,89.8,88.7,90.0,89.1,89.0,87.7,63.6,51.1,49.1,59.0,53.9,152.3,463.5,438.8,443.2,441.6,432.9,478.3,468.7,452.4,453.0,456.6,463.2,471.5,-28516,0,490.6,486.6,25.7,47,48,74.0
0,0.0,991,0,0,0,0,0,89.99,0,2,4,0,0,18,19,17,0,92,38.8,56.4,53.1,67.9,66.1,67.9,67.7,68.2,67.1,67.9,64.4,50.8,39.0,34.9,45.8,40.8,15.8,57.4,51.0,56.4,57.3,55.8,57.7,62.1,64.4,55.9,52.2,53.7,56.3,0,0,103.3,94.3,18.2,1,0,52.6
0,75.36,1071,30,3,25,22,0,89.12,400,336,337,4,6,443,69,81,34,90,50.5,52.6,44.8,46.9,46.3,59.3,59.1,59.8,58.7,59.3,61.7,47.2,35.1,40.5,40.3,42.9,4.8,120.1,105.7,104.2,118.8,84.3,173.9,114.0,90.4,99.1,125.9,145.1,162.0,3000,0,138.0,130.2,16.0,1,0,44.4
12,62.39,1058,3237,16,3089,84,2799,89.26,1000,700,702,-144,-143,890,357,384,244,348,65.0,73.8,74.1,78.2,63.4,90.1,88.9,90.3,89.2,89.1,87.7,62.0,37.2,48.0,57.1,52.7,133.7,442.3,417.4,421.9,425.4,415.9,462.2,446.6,437.0,432.1,434.3,444.6,458.2,-28636,0,472.0,466.4,11.6,39,40,74.0
8,76.67,986,1768,11,1685,47,1501,90.04,840,663,665,-80,-86,836,255,320,170,205,60.4,66.9,72.4,75.8,53.6,78.2,77.7,79.4,78.1,78.2,79.7,52.7,37.7,43.7,45.6,52.0,59.9,424.8,384.9,392.7,381.5,385.7,428.3,400.6,402.3,406.7,435.8,423.8,440.4,26640,0,480.7,454.5,11.2,32,32,73.1
5,39.86,980,1082,9,1029,40,901,90.12,720,552,554,-29,-32,707,195,243,125,132,60.5,67.3,72.4,76.5,52.7,79.1,78.8,80.4,79.0,79.1,80.5,51.0,41.3,42.4,43.5,52.3,65.1,428.1,381.9,387.0,388.2,387.4,437.1,401.8,410.1,408.8,431.6,418.6,440.6,17190,0,478.2,456.1,11.9,34,35,71.0
0,0.0,956,0,0,0,0,0,90.37,0,2,5,-1,0,19,28,26,8,92,43.2,58.3,59.3,68.8,64.7,64.6,64.4,64.7,63.8,64.6,62.5,56.3,37.5,44.7,49.7,47.3,5.2,62.0,56.6,59.1,60.5,56.2,64.0,69.7,66.4,60.5,57.7,61.4,64.0,0,0,108.8,105.4,14.8,1,0,59.1
0,66.14,933,33,3,28,24,0,90.61,400,269,269,3,5,354,56,99,31,92,60.0,62.8,62.4,65.0,56.3,68.3,68.0,68.6,67.6,68.2,70.1,54.9,41.7,48.3,48.3,51.9,-0.1,121.5,114.4,105.5,109.3,88.5,178.0,121.8,97.1,106.7,128.8,155.6,162.7,3300,0,141.5,130.7,18.0,1,0,63.3
12,69.88,1058,3306,16,3155,134,2800,89.24,1000,664,665,-144,-141,846,356,367,248,348,69.5,78.1,75.7,80.3,69.3,93.2,91.9,93.1,92.1,92.2,90.7,68.3,59.4,53.1,64.3,58.0,162.7,483.5,452.7,461.0,464.7,447.4,488.4,490.5,471.5,472.5,470.7,483.6,492.2,-27436,0,493.7,485.8,18.9,56,55,75.5
0,79.96,978,44,3,38,25,0,90.13,400,257,257,1,4,341,79,92,47,93,59.6,66.9,70.5,74.5,55.1,73.7,73.2,74.0,72.8,73.6,75.7,50.0,53.8,41.6,42.2,52.1,16.5,202.0,184.6,176.5,183.8,181.4,237.6,198.3,173.6,170.1,197.6,218.4,226.6,3870,0,252.7,243.2,20.7,32,33,69.3
0,0.0,1103,0,0,0,0,0,88.77,0,3,5,-1,0,25,41,39,20,91,62.4,62.8,71.2,72.5,64.1,66.2,65.9,66.4,65.3,66.2,68.1,61.3,45.3,53.9,53.7,56.4,-2.8,111.8,115.2,102.6,98.3,102.9,127.4,117.9,91.7,89.1,97.2,118.8,120.6,0,0,144.6,127.7,19.7,1,1,71.0
